zafra_norm,rows,optical_obs_count_0_180_mean,optical_obs_count_0_180_median,optical_obs_count_0_180_p10,optical_obs_count_0_180_p90,optical_obs_count_0_180_missing_rate,optical_first_obs_age_0_180_mean,optical_first_obs_age_0_180_median,optical_first_obs_age_0_180_p10,optical_first_obs_age_0_180_p90,optical_first_obs_age_0_180_missing_rate,optical_last_obs_age_0_180_mean,optical_last_obs_age_0_180_median,optical_last_obs_age_0_180_p10,optical_last_obs_age_0_180_p90,optical_last_obs_age_0_180_missing_rate,optical_max_gap_days_0_180_mean,optical_max_gap_days_0_180_median,optical_max_gap_days_0_180_p10,optical_max_gap_days_0_180_p90,optical_max_gap_days_0_180_missing_rate,climate_pentad_count_0_180_mean,climate_pentad_count_0_180_median,climate_pentad_count_0_180_p10,climate_pentad_count_0_180_p90,climate_pentad_count_0_180_missing_rate,climate_max_gap_days_0_180_mean,climate_max_gap_days_0_180_median,climate_max_gap_days_0_180_p10,climate_max_gap_days_0_180_p90,climate_max_gap_days_0_180_missing_rate,cycle_age_max_mean,cycle_age_max_median,cycle_age_max_p10,cycle_age_max_p90,cycle_age_max_missing_rate
2020_2021,6397,38.090623527564,35.0,35.0,37.0,0.004689698296076286,2.069263389351343,2.0,0.0,4.0,0.004689698296076286,177.94722789382755,178.0,176.0,180.0,0.004689698296076286,7.919114182503534,10.0,5.0,10.0,0.004689698296076286,29.081757073628264,35.0,0.0,36.0,0.0,6.0,6.0,6.0,6.0,0.17555103954978896,343.2710645615132,343.0,312.0,373.0,0.0
2021_2022,6079,38.6463033097316,36.0,36.0,37.0,0.000987004441519987,2.0266754487073935,2.0,0.0,4.0,0.000987004441519987,178.138646467973,178.0,176.0,180.0,0.000987004441519987,5.346286843405236,5.0,5.0,5.0,0.000987004441519987,31.260404671821025,36.0,0.0,36.0,0.0,6.0,6.0,6.0,6.0,0.12436255963151834,340.40023030103634,339.0,310.0,373.0,0.0
2022_2023,6228,38.36608863198459,36.0,35.0,37.0,0.0,2.075626204238921,2.0,0.0,4.0,0.0,178.03741168914578,178.0,176.0,180.0,0.0,5.717269076305221,5.0,5.0,10.0,0.0004816955684007707,32.49036608863199,36.0,35.0,36.0,0.0,6.0,6.0,6.0,6.0,0.0892742453436095,335.6957289659602,335.0,309.0,363.0,0.0
2023_2024,6202,32.7203767972236,30.0,29.0,33.0,0.02434698484359884,3.6367542554949597,2.0,0.0,7.0,0.02434698484359884,177.5884977689638,178.0,176.0,180.0,0.02434698484359884,13.191264063534083,15.0,10.0,15.0,0.0254756530151564,33.7715253144147,36.0,35.0,36.0,0.0,6.0,6.0,6.0,6.0,0.05417607223476298,343.700741696227,342.0,316.0,374.0,0.0
2024_2025,6187,37.94368932038835,36.0,34.0,37.0,0.0011314045579440763,2.0632686084142393,2.0,0.0,4.0,0.0011314045579440763,177.8724919093851,178.0,176.0,180.0,0.0011314045579440763,7.711165048543689,5.0,5.0,10.0,0.0011314045579440763,34.81849038306126,36.0,35.0,36.0,0.0,6.0,6.0,6.0,6.0,0.02198157426862777,345.2038144496525,345.0,316.0,375.0,0.0
2025_2026,5763,44.88585696450865,43.0,39.0,46.0,0.02706923477355544,2.530230069555912,2.0,0.0,4.0,0.02706923477355544,178.33832709113608,179.0,176.0,180.0,0.02706923477355544,6.849803781662504,7.0,5.0,10.0,0.02724275550928336,35.390768696859276,36.0,35.0,36.0,0.0,6.0,6.0,6.0,6.0,0.009023078257851813,346.28804442130837,345.0,315.0,382.0,0.0
