feature,source,anomaly_mean,reference_mean,test_2024_2025_mean,external_2025_2026_mean,anomaly_minus_reference,std_diff_vs_reference,anomaly_median,reference_median,anomaly_missing_rate,reference_missing_rate,anomaly_zafra_mean_rank,zafra_count
enso_oni_asof_mean,enso,0.8290453617112759,-0.5158549329911605,0.3997323420074349,-0.16424911793626007,1.3449002947024362,3.920460362399081,0.9616666666666666,-0.515,0.0,0.0,6,6
enso_el_nino_fraction_asof,enso,0.38103177860514204,0.1255099321301738,0.6177346439993926,0.0,0.25552184647496823,1.4200586913734845,0.4166666666666667,0.0,0.0,0.0,5,6
optical_ndvi_auc_91_180,optical,53.202144628986936,44.65559415845296,46.956905574433655,50.41482496878901,8.546550470533973,1.332303694682597,53.351499999999994,44.684225,0.02434698484359884,0.001924721984602224,6,6
climate_heat_pentad_count_0_180,climate,31.57432662802591,22.46069211383613,28.359609981821187,24.51882332341096,9.11363451418978,1.2496614565530608,32.0,24.0,0.05417607223476298,0.13018605645851156,6,6
optical_ndvi_mean_0_180,optical,0.5028919873366429,0.4293768852637915,0.44967738806288926,0.49649440258400845,0.07351510207285139,1.2474557495084264,0.5066733333333332,0.4298494369369369,0.02434698484359884,0.001924721984602224,6,6
optical_ndvi_auc_0_180,optical,90.46464615765989,77.47398279944291,81.01712690938511,88.10730955947922,12.990663358216977,1.2170116932610926,91.6337,77.669925,0.02434698484359884,0.001924721984602224,6,6
optical_ndre_mean_0_180,optical,0.3619017024098093,0.30263198353400783,0.31513585332716443,0.34878071215697093,0.05926971887580146,1.1946109180663451,0.36453,0.30317178571428577,0.02434698484359884,0.001924721984602224,6,6
climate_tmean_mean_0_180,climate,27.693975775935474,26.99830722407383,27.72691440925657,27.238831380799397,0.6956685518616439,1.1591804375011963,27.657611944561914,26.995360957251656,0.05417607223476298,0.13018605645851156,5,6
climate_tmax_mean_0_180,climate,35.12581787973663,34.36082155891994,35.059216231794565,34.4446945499134,0.7649963208166923,1.1060310076713185,35.19012059105767,34.33858066134982,0.05417607223476298,0.13018605645851156,6,6
optical_cire_auc_91_180,optical,200.4169881011403,156.00720680844225,165.4746669174757,178.78857097378278,44.40978129269806,1.0952412371202322,197.25704999999996,152.92630000000003,0.02434698484359884,0.001924721984602224,6,6
optical_evi2_mean_0_180,optical,0.3275589944397216,0.2780236882437722,0.2863338135526905,0.32636834303276285,0.04953530619594937,1.0911550209474223,0.32924193548387093,0.27866949806949814,0.02434698484359884,0.001924721984602224,6,6
optical_cire_auc_0_180,optical,301.35835380928773,242.44629901167772,256.5346716262136,281.7599339397182,58.91205479761001,1.0317327643504397,299.3915999999999,239.26805,0.02434698484359884,0.001924721984602224,6,6
optical_ndvi_amplitude_0_180,optical,0.7376657742521897,0.7891136918791515,0.7940148705501617,0.7981918673087213,-0.05144791762696177,-0.9023980911083129,0.749,0.796,0.02434698484359884,0.001924721984602224,1,6
climate_tmean_slope_0_180,climate,0.002473139156967488,-0.002650480389604963,-0.0049020342581451385,-0.004253874220785658,0.005123619546572452,0.759171926256895,-0.000259495030686727,-0.004239522170062817,0.05417607223476298,0.13018605645851156,6,6
climate_precip_acc_0_90,climate,282.37839725730487,470.3351152761222,511.17189451516896,402.3516951483453,-187.95671801881736,-0.4890232548297577,208.9416040815413,421.52881824970245,0.05417607223476298,0.13023952095808383,1,6
optical_ndvire_peak_0_180,optical,0.6428835729631466,0.6225723430469252,0.6265096601941748,0.64125214909934,0.020311229916221363,0.3951674962932093,0.6508,0.628,0.02434698484359884,0.001924721984602224,6,6
optical_ndre_peak_0_180,optical,0.6155111551809618,0.5956994750374973,0.5985676375404531,0.6154254859996433,0.01981168014346446,0.35833619431121894,0.6237,0.6017,0.02434698484359884,0.001924721984602224,6,6
optical_ndvi_peak_0_180,optical,0.8073531812923483,0.792131733447611,0.7973630258899675,0.8121654717317638,0.015221447844737335,0.31319494650944696,0.8161,0.799,0.02434698484359884,0.001924721984602224,5,6
enso_nino34_precycle_mean,enso,26.161803396753736,26.33704628483553,28.44684677549701,26.476420498582907,-0.17524288808179378,-0.24612362271208277,26.095,25.961666666666662,0.0,0.04972198460222412,3,6
optical_lswi_mean_91_180_minus_0_90,optical,0.2274360069868599,0.20997460806206822,0.21268263381456093,0.19401098684626572,0.017461398924791677,0.18624349373694743,0.2236450000000001,0.21461405228758165,0.028216704288939052,0.00240590248075278,6,6
cycle_age_max,cycle,343.700741696227,339.8156009409752,345.2038144496525,346.28804442130837,3.8851407552518253,0.13938051846045227,342.0,339.0,0.0,0.0,4,6
optical_ndwi11_auc_91_180,optical,25.948057668154025,25.412116812191986,24.58198593851133,25.603480140895314,0.5359408559620391,0.11434939445076416,26.598150000000004,25.904900000000005,0.02434698484359884,0.001924721984602224,5,6
optical_lswi_auc_91_180,optical,25.948057668154025,25.412116812191986,24.58198593851133,25.603480140895314,0.5359408559620391,0.11434939445076416,26.598150000000004,25.904900000000005,0.02434698484359884,0.001924721984602224,5,6
prod_no_corte,productividad,3.7371815543373104,3.932207014542344,3.652173913043478,3.646885302793684,-0.19502546020503342,-0.09250558576023228,3.0,4.0,0.0,0.0,3,6
optical_cire_peak_0_180,optical,3.9054526855065275,3.494557788729377,3.62807213592233,3.7786500445871236,0.41089489677715063,0.08418083911413166,3.7852,3.43035,0.02434698484359884,0.001924721984602224,6,6
optical_cire_amplitude_0_180,optical,3.8690774582713603,3.579234792157703,3.695756262135922,3.8743441412520063,0.2898426661136573,0.05936218470712097,3.7501,3.51505,0.02434698484359884,0.001924721984602224,5,6
prod_codigo_zae,productividad,25.36517943743938,25.772844272844274,25.85185185185185,26.027801911381406,-0.4076648354048942,-0.024045565410581685,24.0,24.0,0.0025798129635601417,0.0029940119760479044,1,6
