feature,zafra_norm,split,category_value,rows,actual_tch_sum,pred_tch_sum,tch_sum_diff,tch_sum_pct_diff,actual_tch_mean,pred_tch_mean,tch_bias,tch_mae,tch_rmse,is_anomaly_zafra
prod_codigo_zae,2023_2024,validation,46.0,697,73923.54000000001,83216.2977759333,9292.757775933293,0.12570769440875385,106.05959827833574,119.39210584782396,13.332507569488245,18.027085480845518,22.142664711784672,True
prod_codigo_zae,2023_2024,validation,6.0,572,56872.39,60825.990559594895,3953.6005595948955,0.06951704613776379,99.42725524475524,106.3391443349561,6.911889090200873,13.940526260860405,17.223122337893603,True
prod_codigo_zae,2023_2024,validation,11.0,545,59334.15,65519.21421669019,6185.064216690189,0.10424122055663035,108.87,120.21874168200036,11.348741682000355,17.27560464873449,21.221614211217577,True
prod_codigo_zae,2023_2024,validation,27.0,372,35139.18,38672.900860568145,3533.7208605681444,0.10056355499952316,94.46016129032259,103.95941091550577,9.499249625183186,14.994282183379521,18.250561122604847,True
prod_codigo_zae,2023_2024,validation,7.0,367,36992.270000000004,40236.55326508258,3244.283265082573,0.08770165402346417,100.79637602179838,109.63638491848114,8.840008896682756,15.665401036544049,19.459271142875707,True
prod_codigo_zae,2023_2024,validation,24.0,350,34306.42,37754.27133822874,3447.851338228742,0.10050163608527915,98.01834285714285,107.86934668065355,9.85100382351069,17.4575079335687,21.126934465901734,True
prod_codigo_zae,2023_2024,validation,52.0,326,37228.84,42239.02495348382,5010.184953483826,0.13457805705157147,114.19889570552147,129.56756120700558,15.36866550148413,17.599847224827585,21.12067906247502,True
prod_codigo_zae,2023_2024,validation,12.0,324,36441.33,39206.77453111954,2765.4445311195377,0.07588758508867645,112.47324074074075,121.0085633676529,8.535322626912164,17.091094479383184,21.962012312515988,True
prod_codigo_zae,2023_2024,validation,10.0,237,25303.56,27198.11892109678,1894.5589210967773,0.07487321630224274,106.76607594936709,114.75999544766573,7.993919498298651,13.391084731706432,17.2976054997631,True
prod_codigo_zae,2023_2024,validation,48.0,236,21753.850000000002,23660.95858974671,1907.1085897467092,0.08766763537243794,92.17733050847458,100.25829910909623,8.08096860062164,13.82263524106229,17.13219749760726,True
prod_codigo_zae,2023_2024,validation,34.0,206,24615.12,26163.850673639958,1548.7306736399587,0.06291785998361815,119.49087378640776,127.00898385262116,7.518110066213371,15.301106104056501,19.50342961393707,True
prod_codigo_zae,2023_2024,validation,35.0,194,21811.159999999996,24427.41268309015,2616.252683090155,0.11995018527626021,112.42865979381442,125.91449836644408,13.485838572629667,18.124814482381474,22.427577871527316,True
prod_codigo_zae,2023_2024,validation,2.0,171,18690.129999999997,20027.32897638282,1337.1989763828242,0.0715457290229027,109.2990058479532,117.11888290282351,7.8198770548703145,15.611514918117935,20.78679444818694,True
prod_codigo_zae,2023_2024,validation,21.0,158,13233.98,15471.191758880257,2237.2117588802575,0.16905056218010436,83.75936708860759,97.91893518278644,14.159568094178848,17.511947052951086,20.288766614467434,True
prod_codigo_zae,2023_2024,validation,49.0,145,12868.869999999999,13676.671254247667,807.8012542476681,0.06277173164758586,88.7508275862069,94.32187071894943,5.5710431327425365,13.87481504453144,18.250585995921757,True
prod_codigo_zae,2023_2024,validation,20.0,133,12412.61,12433.826294837263,21.216294837262467,0.001709253318783275,93.32789473684211,93.48741575065611,0.15952101381401157,11.300851340417008,14.558424092317138,True
prod_codigo_zae,2023_2024,validation,33.0,131,13656.33,14729.48891462873,1073.1589146287297,0.07858325879857397,104.24679389312978,112.43884667655519,8.19205278342542,13.272465103544599,16.46102627196473,True
prod_codigo_zae,2023_2024,validation,3.0,90,10200.710000000001,10584.886678008204,384.17667800820345,0.03766175864309479,113.34122222222223,117.60985197786894,4.268629755646739,12.480887220294683,15.452741576558633,True
prod_codigo_zae,2023_2024,validation,44.0,85,6656.650000000001,8078.536355016852,1421.8863550168517,0.21360389310191336,78.31352941176472,95.04160417666886,16.728074764904136,16.976991724476846,19.196434637526885,True
prod_codigo_zae,2023_2024,validation,15.0,84,8671.51,9383.603521508358,712.0935215083573,0.08211874535211944,103.23226190476191,111.70956573224235,8.47730382748045,15.954281533978588,21.0217166810529,True
prod_codigo_zae,2023_2024,validation,54.0,79,6918.629999999998,7860.552479235267,941.9224792352688,0.13614291835743045,87.57759493670883,99.5006642941173,11.923069357408444,15.860584013217347,19.657128010995027,True
prod_codigo_zae,2023_2024,validation,28.0,64,6178.83,6622.545253878525,443.7152538785249,0.07181218027984665,96.54421875,103.47726959185195,6.933050841851955,15.757237385172878,18.095538977650353,True
