feature,feature_bin,rows,actual_tch_sum,pred_tch_sum,tch_sum_diff,tch_sum_pct_diff,actual_tch_mean,pred_tch_mean,tch_bias,tch_mae,tch_rmse
prod_codigo_zae,"(0.999, 7.0]",1240,127142.54,136041.73157281568,8899.19157281569,0.06999381617526038,102.53430645161289,109.71107384904491,7.176767397431982,14.63349803302775,18.429095422005833
prod_codigo_zae,"(7.0, 14.0]",1266,135659.66999999998,148652.48425803176,12992.81425803178,0.09577506902406427,107.15613744075829,117.41902390049903,10.26288645974072,16.623799116686733,20.83791711649695
prod_codigo_zae,"(14.0, 27.0]",1214,114994.54999999999,126274.92910868018,11280.379108680194,0.09809490196431218,94.7236820428336,104.01559234652404,9.291910303690434,15.62716280857574,19.289809055153036
prod_codigo_zae,"(27.0, 46.0]",1598,165916.77,185508.91451349627,19592.144513496285,0.11808417264569632,103.8277659574468,116.0881817981829,12.260415840736105,17.406314615547664,21.347136487436554
prod_codigo_zae,"(46.0, 54.0]",868,86695.71,95922.86743231906,9227.157432319058,0.10643153429759163,99.87985023041476,110.51021593585146,10.630365705436708,15.899122111083592,19.60223631183631
optical_cire_peak_0_180,"(-0.127, 3.1]",1211,108392.5,116217.20583297404,7824.705832974039,0.07218862774614516,89.50660611065236,95.96796517999508,6.461359069342728,15.105319992064642,18.87103352636953
optical_cire_peak_0_180,"(3.1, 3.57]",1210,115775.27,128883.73148146449,13108.461481464488,0.1132233289670971,95.68204132231405,106.51548056319379,10.833439240879745,15.840634965713836,19.50943373023367
optical_cire_peak_0_180,"(3.57, 3.981]",1210,123462.49,137892.99440098432,14430.504400984311,0.1168816893372579,102.03511570247935,113.9611523975077,11.926036695028372,16.228251310381335,20.129600459430023
optical_cire_peak_0_180,"(3.981, 4.456]",1210,130129.93,144723.5749074645,14593.644907464506,0.11214672064654539,107.54539669421487,119.60626025410289,12.060863559888015,16.217520686017004,20.09837093109548
optical_cire_peak_0_180,"(4.456, 278.979]",1210,138072.22,152875.6756248662,14803.455624866212,0.10721530822685557,114.10927272727272,126.3435335742696,12.234260846996866,16.363775850901977,20.421339094660365
optical_ndre_peak_0_180,"(-0.040100000000000004, 0.573]",1211,107960.64,116085.57862841079,8124.9386284107895,0.07525834071019577,89.14999174236168,95.85927219521948,6.709280452857784,15.470234208332114,19.211781239137125
optical_ndre_peak_0_180,"(0.573, 0.609]",1210,115476.81,128691.8433929015,13215.033392901503,0.11443885047483995,95.43538016528926,106.3568953660343,10.921515200745025,15.870487777553533,19.73239553366896
optical_ndre_peak_0_180,"(0.609, 0.636]",1212,123485.63,138380.65555834922,14895.02555834921,0.12062152947147947,101.88583333333334,114.17545838147625,12.289625048142904,16.243918462029885,20.005787861607736
optical_ndre_peak_0_180,"(0.636, 0.663]",1209,130511.55,144456.17508203065,13944.625082030645,0.10684590813633464,107.95,119.48401578331733,11.534015783317312,15.913457826997588,19.76242658859895
optical_ndre_peak_0_180,"(0.663, 0.907]",1209,138397.78,152978.92958606148,14581.149586061481,0.10535681703898343,114.47293631100082,126.53344051783414,12.06050420683332,16.25684051959233,20.33857611976686
cycle_age_max,"(183.999, 326.0]",1323,131754.49,143372.84893085543,11618.358930855436,0.08818188230894779,99.58767195767194,108.36950032566548,8.781828367993498,15.415706551159342,19.37637741017014
cycle_age_max,"(326.0, 337.0]",1222,124766.31,134335.5678451604,9569.257845160406,0.07669745017834066,102.10009001636661,109.93090658360099,7.830816567234366,15.249303266078773,18.963858954516805
cycle_age_max,"(337.0, 348.0]",1210,124835.86,136222.4547694577,11386.59476945769,0.0912125311545712,103.17013223140496,112.58054113178322,9.410408900378254,15.639237624224068,19.286309501143883
cycle_age_max,"(348.0, 362.0]",1246,125381.49999999999,141663.61869868616,16282.118698686172,0.12986061499253218,100.6272070626003,113.69471805673047,13.06751099413014,17.57858414714501,21.5307742383211
cycle_age_max,"(362.0, 705.0]",1201,125379.53,138581.00884709758,13201.478847097576,0.10529213857395682,104.39594504579517,115.38801735811622,10.992072312321053,16.753357704512684,20.892461437957657
optical_ndvire_peak_0_180,"(-0.0682, 0.603]",1211,108416.98000000001,116272.47431076106,7855.494310761045,0.07245630998724595,89.52682080924856,96.0136038899761,6.486783080727545,15.22165241676714,18.979968274921795
optical_ndvire_peak_0_180,"(0.603, 0.638]",1214,115893.55,129289.14051248059,13395.590512480587,0.11558529799527745,95.46420922570017,106.49846829693624,11.03425907123608,15.996207870610656,19.749401273866805
optical_ndvire_peak_0_180,"(0.638, 0.662]",1210,123215.91,137771.8146919482,14555.904691948206,0.11813332135394046,101.8313305785124,113.86100387764314,12.029673299130753,16.133824558997443,20.057248867107706
optical_ndvire_peak_0_180,"(0.662, 0.687]",1208,130222.45000000001,144647.0537509654,14424.603750965383,0.11076894768118233,107.80004139072848,119.74093853556738,11.940897144838887,16.211401145527173,20.041426072271854
optical_ndvire_peak_0_180,"(0.687, 0.918]",1208,138083.52,152612.6989815983,14529.178981598321,0.10522022455393897,114.30754966887416,126.33501571324364,12.027466044369476,16.193001640999444,20.216997322065357
prod_no_corte,"(0.999, 2.0]",2245,236112.45,260216.97951293126,24104.529512931244,0.10208919314899,105.17258351893096,115.90956771177339,10.73698419284243,16.657831246383303,20.6986903277354
prod_no_corte,"(2.0, 3.0]",1130,118474.2,129305.0077844791,10830.807784479097,0.09141912572086663,104.84442477876107,114.42921042874256,9.58478564998151,14.653900863055705,18.311765550046463
prod_no_corte,"(3.0, 4.0]",790,79697.43,88266.20305485735,8568.77305485736,0.10751630328427605,100.88282278481012,111.72937095551563,10.846548170705496,16.84382432732623,20.674421258014462
prod_no_corte,"(4.0, 6.0]",1246,122582.23000000001,133268.9207990649,10686.690799064876,0.08717977148127322,98.38060192616373,106.95740032027679,8.57679839411307,16.239974626859407,20.056518708409705
prod_no_corte,"(6.0, 11.0]",791,75251.38,83118.38793992464,7867.0079399246315,0.10454303881104414,95.13448798988622,105.08013646008172,9.945648470195488,15.776783321197964,19.74722364640926
optical_ndvi_peak_0_180,"(0.0179, 0.773]",1211,114239.95,120250.76357315306,6010.813573153064,0.05261568805967671,94.33521882741536,99.29873127427999,4.96351244686463,14.534070107140657,18.30693256305227
optical_ndvi_peak_0_180,"(0.773, 0.805]",1214,116259.22,129589.3876085761,13330.1676085761,0.11465901464482645,95.76542009884679,106.74578880442841,10.980368705581633,15.722053704778295,19.460147651184837
optical_ndvi_peak_0_180,"(0.805, 0.827]",1209,122353.92000000001,137635.98183447,15282.06183446999,0.12490046771259955,101.2025806451613,113.84283030146402,12.640249656302734,16.66458912134277,20.527338965328408
optical_ndvi_peak_0_180,"(0.827, 0.848]",1209,128763.22,144012.12562818118,15248.905628181179,0.11842594203671808,106.5039040529363,119.11672922099353,12.612825168057222,16.4291373740676,20.3617949383424
optical_ndvi_peak_0_180,"(0.848, 0.972]",1208,134216.09999999998,149104.92360337323,14888.823603373254,0.11093172580169783,111.1060430463576,123.43122814848778,12.325185102130147,16.40862275152158,20.328163353967533
climate_tmean_mean_0_180,"(25.427999999999997, 27.233]",1174,118115.49,122957.13271140962,4841.642711409615,0.04099075160598847,100.60944633730836,104.73350316133698,4.124056824028624,13.2690365894081,16.56144821527024
climate_tmean_mean_0_180,"(27.233, 27.522]",1173,111632.81,123037.75344177496,11404.943441774958,0.10216479762334173,95.16863597612958,104.89152041072033,9.722884434590753,15.20890056079952,18.696797628157885
climate_tmean_mean_0_180,"(27.522, 27.827]",1173,114942.11000000002,126916.89813130259,11974.788131302572,0.1041810362738475,97.98986359761297,108.19854913154526,10.208685533932295,15.957926078091065,20.001298863764994
climate_tmean_mean_0_180,"(27.827, 28.276]",1173,125476.79000000001,138626.7097374645,13149.919737464486,0.10479961861842725,106.97083546462063,118.18133822460742,11.210502759986804,16.92857553422495,21.217756028615383
climate_tmean_mean_0_180,"(28.276, 28.822]",1173,128856.3,147720.76343985874,18864.463439858737,0.1463992326324653,109.85191815856778,125.93415468018648,16.08223652161869,18.502175697384192,22.256312715418943
optical_ndvi_amplitude_0_180,"(-0.001, 0.673]",1211,118756.15,127637.80271695515,8881.652716955155,0.07478899170236789,98.06453344343517,105.39868102143282,7.3341475779976575,15.116921143015889,18.732973236603023
optical_ndvi_amplitude_0_180,"(0.673, 0.729]",1215,121415.93,135942.53215614724,14526.602156147244,0.11964329685690539,99.93080658436213,111.88685774168496,11.95605115732283,16.239899708766295,20.203371888298246
optical_ndvi_amplitude_0_180,"(0.729, 0.768]",1208,125519.56,138643.43045974267,13123.87045974267,0.10455637718728993,103.90692052980133,114.77105170508499,10.864131175283658,15.14249576056291,18.757404266666846
optical_ndvi_amplitude_0_180,"(0.768, 0.808]",1210,123667.73999999999,139076.19959702357,15408.459597023582,0.12459562693571972,102.20474380165288,114.93900793142444,12.734264129771546,17.161860120270507,21.235468775987588
optical_ndvi_amplitude_0_180,"(0.808, 0.987]",1207,126473.03,139293.21731788496,12820.187317884964,0.10136696588897225,104.78295774647887,115.40448825011181,10.621530503632926,16.092136238199497,20.022927752064316
optical_ndvi_mean_0_180,"(0.0179, 0.448]",1211,118492.88,130566.15626141374,12073.276261413732,0.10189030987696249,97.84713459950454,107.81680946442093,9.969674864916378,16.11675609344977,20.16138966310991
optical_ndvi_mean_0_180,"(0.448, 0.49]",1210,125203.88,136463.45501826046,11259.575018260453,0.08992992084798372,103.47428099173554,112.77971489112434,9.305433899388833,15.65473826717547,19.917031300487753
optical_ndvi_mean_0_180,"(0.49, 0.524]",1210,122403.03,136280.39989445105,13877.369894451054,0.11337439844790652,101.15952892561984,112.62842966483558,11.46890073921575,16.57167992695995,20.475557247019132
optical_ndvi_mean_0_180,"(0.524, 0.559]",1210,124207.16,138501.7089945157,14294.548994515702,0.11508635246563646,102.65054545454545,114.46422230951711,11.813676854971657,16.245529161381143,19.851476660965638
