zafra_norm,split,rows,actual_tch_sum,actual_tch_mean,actual_tch_median,actual_tch_std,actual_tch_p10,actual_tch_p25,actual_tch_p75,actual_tch_p90,area_sum,area_mean
2020_2021,train,6397,632508.4199999999,98.87578865093012,99.36,22.43553663123661,69.35,83.99,114.77,127.93400000000001,94198.99,14.725494763170238
2021_2022,train,6079,611535.21,100.5979947359763,101.38,23.517141837952217,69.34599999999999,84.17500000000001,117.99,131.084,90208.32,14.839335417009378
2022_2023,train,6228,606105.46,97.31943802183686,98.16,23.187645680279115,66.585,81.02,113.99,127.643,93646.65000000001,15.03639210019268
2023_2024,validation,6202,632117.69,101.92158819735569,102.79,22.453172086120837,72.703,86.75,118.25,131.62,98972.63,15.958179619477589
2024_2025,test,6187,625835.3400000001,101.15327945692583,102.07,22.157356807140225,71.924,85.66,117.27,130.048,100347.5,16.219088411184742
2025_2026,external,5763,613220.65,106.40649835155301,107.86,22.409608240716384,75.57600000000001,91.73,123.065,135.09799999999998,94793.1259,16.4485729481173
