zafra,tipo,lotes,area_ha,weighted_tch,tm
2021_2022,real hist?rico completo,9115,162314.15,105.91884477785824,17192127.259099998
2022_2023,real hist?rico completo,9095,163762.09999999998,101.63909498351572,16644631.6366
2023_2024,real hist?rico completo,8942,160948.36,105.57084018004284,16991453.5908
2024_2025,real hist?rico completo,8750,158629.22999999998,104.75444607655224,16617117.1202
2025_2026,real hist?rico completo,8424,149930.2402,109.4070572131185,16403426.367538
2026_2027,predicci?n actual CatBoost oficial (parcial elegible),1050,19020.55,112.89973973961713,2147415.1447043745
2026_2027,predicci?n actual LightGBM shadow (parcial elegible),1050,19020.55,113.05679902640924,2150402.498721768
2026_2027,predicci?n actual promedio shadow (parcial elegible),1050,19020.55,112.97826938301318,2148908.8217130713
